,NUMERO CLIENTE,Cuatrimestre,N° Factura,SKU,Cantidad,Precio Unitario,Tipo cbio. Prom.Mes,Kilos,USD TC Prom.Mes,Rubro,Provincia,Condición de pago,Devoluciones,Kilos_Promedio,Kilos_Maximo,Kilos_Minimo,Frecuencia,USD/Ton,Indice devoluciones,Target
81,4.0,4,6,3,44350.0,25.11333333333333,43.16846666666666,13749.1343,17350.803902,Alimentos,Córdoba,45.0,0,2291.5223833333334,5146.6222,883.3913,4,1282.6082146769356,0.0,0
82,4.0,5,38,15,328250.0,15.945789473684215,51.39515375815791,79268.12280799997,88327.42672609998,Alimentos,Córdoba,45.0,0,2086.003231789473,7957.47848,182.69721,4,1470.099157452524,0.0,0
83,4.0,6,52,18,405700.0,15.223384615384614,52.982462361730754,94390.53120800004,107204.89629309998,Alimentos,Córdoba,45.0,0,1815.20252323077,7957.47848,182.69721,4,1882.7315370754459,0.0,0
84,4.0,7,96,27,703521.0,17.028177083333333,55.83833794593744,178537.04076200002,197038.44050601588,Alimentos,Córdoba,45.0,0,1859.7608412708335,7957.47848,0.0,4,1515.0136156459637,0.0,0
85,4.0,8,124,32,812632.0,18.084604838709676,56.99741486137082,209589.18608900008,229973.8272164159,Alimentos,Córdoba,45.0,1,1690.2353716854846,7957.47848,-2568.901175,4,1428.3388695011472,0.008064516129032258,0
86,4.0,9,102,23,646157.0,19.709421568627455,58.73318725490188,174147.6263709999,178430.60796761597,Alimentos,Córdoba,45.0,1,1707.3296703039207,7934.960215,-2568.901175,4,1354.12678833884,0.00980392156862745,0
87,4.0,10,89,25,579907.0,20.979382022471903,59.14445168539322,161840.05327099992,163749.49267461605,Alimentos,Córdoba,45.0,1,1818.4275648426958,7934.960215,-2568.901175,4,1094.1088563979133,0.011235955056179775,0
88,4.0,11,46,18,300686.0,22.343391304347833,59.89284130434786,81536.642617,76861.32041569999,Alimentos,Córdoba,45.0,1,1772.5357090652176,7934.960215,-2568.901175,4,1096.7937777864222,0.021739130434782608,0
89,4.0,12,18,8,166925.0,24.01055555555556,60.49777222222224,43820.29709,36177.3470593,Alimentos,Córdoba,45.0,0,2434.4609494444444,7934.960215,550.04859,4,1075.2323135778606,0.0,0
90,4.0,13,33,10,180025.0,19.828787878787878,64.85446060606063,44003.111200000014,44291.4084454,Alimentos,Córdoba,45.0,0,1333.4276121212126,6240.7624,142.5902,4,1072.521875188973,0.0,0
91,4.0,14,50,10,250760.0,19.544599999999996,66.140324,62125.57031449999,61512.47947399999,Alimentos,Córdoba,45.0,0,1242.51140629,6240.7624,142.5902,4,1050.7334941549364,0.0,0
92,4.0,15,64,10,306742.0,18.327656249999997,67.26826093749997,73809.0806246,72749.59690119998,Alimentos,Córdoba,45.0,0,1153.266884759375,6240.7624,142.5902,4,1050.53612383483,0.0,0
93,4.0,16,76,12,378567.0,18.573815789473688,68.15307236842109,89462.5650526,88987.41066170002,Alimentos,Córdoba,45.0,0,1177.1390138499999,6240.7624,142.5902,4,1053.2878885909338,0.0,0
94,4.0,17,99,18,676967.0,19.142424242424248,71.32702424242412,158561.75679659998,165271.83557389997,Alimentos,Córdoba,45.0,0,1601.6339070363633,7243.665023,107.03676,4,1079.8283583394211,0.0,0
95,4.0,18,156,33,1053982.0,20.343397435897447,73.65390641025651,239090.34019759987,258194.32968773003,Alimentos,Córdoba,45.0,0,1532.6303858820504,7243.665023,75.7058,4,1134.2177478172025,0.0,0
96,4.0,19,178,39,1191623.0,21.849550561797766,74.90773202247203,278858.02977850003,311297.6112693299,Alimentos,Córdoba,45.0,0,1566.6181448230338,7243.665023,75.7058,4,1176.9131109453529,0.0,0
97,4.0,20,201,41,1337558.0,22.44850746268658,76.07305472636821,309730.68377749994,351227.10587123,Alimentos,Córdoba,45.0,0,1540.94867550995,7243.665023,75.7058,4,1207.3041831415453,0.0,0
111,5.0,1,309,8,1399275.0,41.16957928802591,39.93156229773457,753340.1723000003,634024.2474923916,Carne y productos carnicos,Buenos Aires,30.0,0,2437.9940851132696,10001.1555,-9334.4118,4,872.146970688535,0.0,0
112,5.0,2,290,7,1334628.0,40.27179310344828,41.673434655172386,718531.1641999995,597826.176281405,Carne y productos carnicos,Buenos Aires,30.0,1,2477.6936696551707,10667.8992,-9334.4118,4,867.4378112983023,0.0034482758620689655,0
113,5.0,3,273,7,1266569.0,40.85952898550722,42.553278985507234,675019.0902999997,559889.951807559,Carne y productos carnicos,Buenos Aires,30.0,2,2445.7213416666655,10667.8992,-9334.4118,4,858.7360032450027,0.007326007326007326,0
114,5.0,4,294,9,1449201.0,41.70043771043766,42.72416262626261,759696.3026999997,641007.162403391,Carne y productos carnicos,Buenos Aires,30.0,3,2557.900009090908,10667.8992,-9334.4118,4,876.5727310246493,0.01020408163265306,0
115,5.0,5,238,11,1421608.0,48.02925311203309,46.45372756327803,729829.5882879997,634332.7332349312,Carne y productos carnicos,Buenos Aires,30.0,3,3028.338540614107,11373.5244,-9334.4118,4,935.8641907115658,0.012605042016806723,0
116,5.0,6,272,14,1569007.0,49.465381818181676,50.26126015545435,785905.8813579999,721111.9766924331,Carne y productos carnicos,Buenos Aires,30.0,2,2857.839568574545,11373.5244,-9334.4118,4,996.2339280994372,0.007352941176470588,0
117,5.0,7,328,16,1925691.0,61.6316109422491,53.28564724240128,969304.8891131997,891901.0843438911,Carne y productos carnicos,Buenos Aires,30.0,1,2946.215468429178,11373.5244,-49.6899,4,1043.7464123190275,0.003048780487804878,0
118,5.0,8,332,16,1958611.0,61.094594594594646,56.86846709534542,996921.0422881999,914284.6641181543,Carne y productos carnicos,Buenos Aires,30.0,0,2993.756883748348,11373.5244,2e-07,4,1027.0356703340901,0.0,0
119,5.0,9,317,13,1866016.0,58.83668750000002,58.45337500000028,947742.3045346999,1028201.7993913334,Carne y productos carnicos,Buenos Aires,30.0,1,2961.6947016709373,9352.9506,-2896.098734,4,4313.006367027338,0.0031545741324921135,0
120,5.0,10,290,13,1800494.0,56.964744027303624,59.459955290102485,905842.1391646999,982748.5641432552,Carne y productos carnicos,Buenos Aires,30.0,1,3091.611396466553,9352.9506,-2896.098734,4,4345.168229675966,0.0034482758620689655,0
121,5.0,11,263,14,1731639.0,41.41267924528288,60.22654301886793,862228.9042095002,949482.9458231892,Carne y productos carnicos,Buenos Aires,30.0,1,3504.995545567074,9352.9506,-2896.098734,4,4401.068189549831,0.0038022813688212928,0
122,5.0,12,255,14,1697410.0,40.05245136186764,61.08293657587558,811556.9985344997,923398.7055318694,Carne y productos carnicos,Buenos Aires,30.0,2,3409.9033551869734,9352.9506,-3859.1047,4,4461.398476742363,0.00784313725490196,0
123,5.0,13,244,17,1644002.0,13365.648531428575,62.34395755102048,789321.0647999997,686659.7788643795,Carne y productos carnicos,Buenos Aires,30.0,3,3492.5710831858396,10021.0185,-3859.1047,4,988.2078978950531,0.012295081967213115,0
